======================================================================================================================
  BOUNDED RECONSTRUCTION — NOT A REPLICATION
======================================================================================================================
  true-tick sessions 61   20260302 .. 20260529   sealed days excluded, 2016-2020 unread
  grid: pivot L/R [2, 3, 5] x stop [0.5, 1.0, 1.2] x ATR14   TP fixed 1.2xATR14
  costs in points/round-turn: {'none': 0.0, 'commission': 0.22, 'comm+1tick': 0.72, 'comm+2.1pt': 2.32}
  Positions are flattened at each tape day's end (the archive is not
  contiguous across weekends and excluded days). Declared, not hidden.
  5-minute bars built from ticks: 16836   (276 a session)

======================================================================================================================
  CALIBRATION CHECK — Model A, no cost, against the supplied ledger
======================================================================================================================
  ledger: 28.6 trades/session · 57% win · 7.99 gross pts/trade · 20.4% reversal-affected

  pivot     stop  trades  per sess    win%  pts/trade    rev%   same%  TP dist
  2/2        0.5    3043      49.9    32.0      -0.80    17.5     0.0    26.91
  2/2        1.0    2532      41.5    42.4      -1.62    26.7     0.0    26.89
  2/2        1.2    2409      39.5    45.1      -1.60    30.6     0.0    26.90
  3/3        0.5    2393      39.2    32.2      -0.34    14.0     0.0    28.21
  3/3        1.0    1913      31.4    44.9      -0.70    21.9     0.0    27.84
  3/3        1.2    1802      29.5    48.2      -0.39    25.2     0.0    27.86
  5/5        0.5    1697      27.8    31.5      -0.33    10.4     0.0    29.14
  5/5        1.0    1348      22.1    43.5      -1.15    16.8     0.0    28.89
  5/5        1.2    1261      20.7    47.5      -0.81    19.3     0.0    29.03

======================================================================================================================
  MODEL A
======================================================================================================================
  pivot     stopcost              n   win%    avgW    avgL     exp     PF    maxDD$       P&L $   rev%  same%       $rev     $other
  5/5        1.2commission     1261   47.3   29.98  -28.92  -1.034   0.93    33,711     -26,071   19.3    0.0    -98,712     72,641
  5/5        1.2comm+1tick     1261   46.9   29.73  -29.20  -1.534   0.90    45,311     -38,681   19.3    0.0   -101,142     62,461
  5/5        1.2comm+2.1pt     1261   46.8   28.23  -30.71  -3.134   0.81    82,757     -79,033   19.3    0.0   -108,918     29,885

======================================================================================================================
  MODEL B
======================================================================================================================
  pivot     stopcost              n   win%    avgW    avgL     exp     PF    maxDD$       P&L $   rev%  same%       $rev     $other
  2/2        0.5none           1749   32.5   29.44  -13.15   0.702   1.08    13,614      24,568    4.3   49.7      1,000     23,568
  2/2        0.5commission     1749   32.5   29.22  -13.37   0.482   1.05    16,432      16,872    4.3   49.7        670     16,202
  2/2        0.5comm+1tick     1749   32.5   28.77  -13.86  -0.018   1.00    24,802        -618    4.3   49.7        -80       -538
  2/2        0.5comm+2.1pt     1749   32.2   27.36  -15.41  -1.618   0.85    66,265     -56,586    4.3   49.7     -2,480    -54,106
  2/2        1.0none           1650   46.7   29.17  -24.19   0.742   1.06    23,926      24,489   12.1   24.5    -26,670     51,159
  2/2        1.0commission     1650   46.7   28.95  -24.41   0.522   1.04    24,705      17,229   12.1   24.5    -27,546     44,775
  2/2        1.0comm+1tick     1650   46.7   28.49  -24.89   0.022   1.00    26,475         729   12.1   24.5    -29,536     30,265
  2/2        1.0comm+2.1pt     1650   46.2   27.14  -26.29  -1.578   0.89    69,486     -52,071   12.1   24.5    -35,904    -16,167
  2/2        1.2none           1619   49.3   29.30  -27.70   0.394   1.03    23,576      12,772   15.6   21.1    -50,305     63,077
  2/2        1.2commission     1619   49.3   29.08  -27.92   0.174   1.01    24,020       5,649   15.6   21.1    -51,418     57,067
  2/2        1.2comm+1tick     1619   49.2   28.62  -28.39  -0.326   0.98    29,981     -10,541   15.6   21.1    -53,948     43,407
  2/2        1.2comm+2.1pt     1619   48.7   27.34  -29.67  -1.926   0.87    76,479     -62,349   15.6   21.1    -62,044       -305
  3/3        0.5none           1371   32.7   31.51  -13.24   1.387   1.16    18,604      38,037    2.7   50.0     -1,280     39,317
  3/3        0.5commission     1371   32.7   31.29  -13.46   1.167   1.13    19,722      32,004    2.7   50.0     -1,443     33,447
  3/3        0.5comm+1tick     1371   32.5   30.93  -13.93   0.667   1.07    22,262      18,294    2.7   50.0     -1,813     20,107
  3/3        0.5comm+2.1pt     1371   32.5   29.40  -15.51  -0.933   0.91    33,545     -25,578    2.7   50.0     -2,997    -22,581
  3/3        1.0none           1275   47.8   30.92  -24.79   1.864   1.14    24,750      47,524    8.6   24.8    -18,765     66,289
  3/3        1.0commission     1275   47.8   30.70  -25.01   1.644   1.13    25,753      41,914    8.6   24.8    -19,249     61,163
  3/3        1.0comm+1tick     1275   47.8   30.25  -25.48   1.144   1.09    28,033      29,164    8.6   24.8    -20,349     49,513
  3/3        1.0comm+2.1pt     1275   47.4   28.90  -26.88  -0.456   0.97    35,524     -11,636    8.6   24.8    -23,869     12,233
  3/3        1.2none           1249   51.1   30.64  -28.93   1.501   1.11    20,675      37,489   11.3   21.7    -29,350     66,839
  3/3        1.2commission     1249   51.1   30.42  -29.15   1.281   1.09    21,819      31,994   11.3   21.7    -29,970     61,964
  3/3        1.2comm+1tick     1249   51.0   29.97  -29.60   0.781   1.05    24,419      19,504   11.3   21.7    -31,380     50,884
  3/3        1.2comm+2.1pt     1249   50.4   28.70  -30.86  -0.819   0.95    35,851     -20,464   11.3   21.7    -35,892     15,428
  5/5        0.5none           1002   30.1   31.80  -13.35   0.260   1.03    14,491       5,201    1.6   50.7        875      4,326
  5/5        0.5commission     1002   30.1   31.58  -13.57   0.040   1.00    15,687         792    1.6   50.7        805        -12
  5/5        0.5comm+1tick     1002   29.9   31.29  -14.03  -0.460   0.95    18,567      -9,228    1.6   50.7        645     -9,872
  5/5        0.5comm+2.1pt     1002   29.7   29.89  -15.59  -2.060   0.81    46,180     -41,292    1.6   50.7        133    -41,424
  5/5        1.0none            914   45.8   31.46  -25.85   0.420   1.03    22,859       7,686    5.3   23.9     -5,855     13,541
  5/5        1.0commission      914   45.8   31.24  -26.07   0.200   1.01    23,651       3,664    5.3   23.9     -6,066      9,731
  5/5        1.0comm+1tick      914   45.7   30.81  -26.52  -0.300   0.98    25,960      -5,476    5.3   23.9     -6,546      1,071
  5/5        1.0comm+2.1pt      914   45.4   29.43  -27.95  -1.900   0.88    42,126     -34,724    5.3   23.9     -8,082    -26,641
  5/5        1.2none            885   49.2   31.35  -29.93   0.191   1.01    24,640       3,377    8.5   19.3    -19,230     22,607
  5/5        1.2commission      885   49.2   31.13  -30.15  -0.029   1.00    25,663        -517    8.5   19.3    -19,560     19,043
  5/5        1.2comm+1tick      885   49.0   30.70  -30.59  -0.529   0.97    28,243      -9,367    8.5   19.3    -20,310     10,943
  5/5        1.2comm+2.1pt      885   48.6   29.38  -31.91  -2.129   0.87    45,622     -37,687    8.5   19.3    -22,710    -14,977

======================================================================================================================
  MODEL C
======================================================================================================================
  pivot     stopcost              n   win%    avgW    avgL     exp     PF    maxDD$       P&L $   rev%  same%       $rev     $other
  2/2        0.5none           4447   30.0   25.11  -11.74  -0.671   0.92    66,645     -59,710   19.5   47.1    -15,190    -44,520
  2/2        0.5commission     4447   30.0   24.89  -11.96  -0.891   0.89    85,304     -79,277   19.5   47.1    -19,005    -60,272
  2/2        0.5comm+1tick     4447   29.2   25.13  -12.31  -1.391   0.84   129,064    -123,747   19.5   47.1    -27,675    -96,072
  2/2        0.5comm+2.1pt     4447   26.8   25.69  -13.49  -2.991   0.70   269,458    -266,051   19.5   47.1    -55,419   -210,632
  2/2        1.0none           3395   40.4   25.07  -18.72  -1.015   0.91    78,545     -68,900   35.2   31.8   -129,255     60,355
  2/2        1.0commission     3395   40.4   24.85  -18.94  -1.235   0.89    92,546     -83,838   35.2   31.8   -134,517     50,679
  2/2        1.0comm+1tick     3395   39.3   25.05  -19.09  -1.735   0.85   125,592    -117,788   35.2   31.8   -146,477     28,689
  2/2        1.0comm+2.1pt     3395   36.1   25.62  -19.70  -3.335   0.74   232,315    -226,428   35.2   31.8   -184,749    -41,679
  2/2        1.2none           3241   42.7   25.08  -20.52  -1.034   0.91    79,085     -67,035   39.8   30.0   -179,320    112,285
  2/2        1.2commission     3241   42.7   24.86  -20.74  -1.254   0.89    91,819     -81,295   39.8   30.0   -184,992    103,696
  2/2        1.2comm+1tick     3241   41.6   25.06  -20.82  -1.754   0.86   122,169    -113,705   39.8   30.0   -197,882     84,176
  2/2        1.2comm+2.1pt     3241   38.2   25.63  -21.24  -3.354   0.74   224,392    -217,417   39.8   30.0   -239,130     21,712
  3/3        0.5none           3577   29.8   26.53  -12.01  -0.532   0.94    48,015     -38,065   17.2   45.5    -15,985    -22,080
  3/3        0.5commission     3577   29.8   26.31  -12.23  -0.752   0.91    62,390     -53,804   17.2   45.5    -18,691    -35,113
  3/3        0.5comm+1tick     3577   29.1   26.39  -12.61  -1.252   0.86    95,599     -89,574   17.2   45.5    -24,841    -64,733
  3/3        0.5comm+2.1pt     3577   26.9   26.92  -13.81  -2.852   0.72   208,518    -204,038   17.2   45.5    -44,521   -159,517
  3/3        1.0none           2625   41.5   26.38  -19.62  -0.537   0.95    46,520     -28,190   31.4   31.2    -94,670     66,480
  3/3        1.0commission     2625   41.5   26.16  -19.84  -0.757   0.93    51,520     -39,740   31.4   31.2    -98,291     58,551
  3/3        1.0comm+1tick     2625   40.6   26.25  -20.03  -1.257   0.89    75,600     -65,990   31.4   31.2   -106,521     40,531
  3/3        1.0comm+2.1pt     2625   37.6   26.67  -20.65  -2.857   0.78   155,096    -149,990   31.4   31.2   -132,857    -17,133
  3/3        1.2none           2485   44.0   26.49  -21.52  -0.401   0.97    41,755     -19,950   35.3   29.4   -128,285    108,335
  3/3        1.2commission     2485   44.0   26.27  -21.74  -0.621   0.95    43,955     -30,884   35.3   29.4   -132,144    101,260
  3/3        1.2comm+1tick     2485   43.0   26.36  -21.87  -1.121   0.91    65,986     -55,734   35.3   29.4   -140,914     85,180
  3/3        1.2comm+2.1pt     2485   40.0   26.72  -22.32  -2.721   0.80   141,218    -135,254   35.3   29.4   -168,978     33,724
  5/5        0.5none           2612   29.3   26.43  -12.32  -0.953   0.89    59,000     -49,805   14.1   44.5     -4,130    -45,675
  5/5        0.5commission     2612   29.3   26.21  -12.54  -1.173   0.87    69,116     -61,298   14.1   44.5     -5,754    -55,544
  5/5        0.5comm+1tick     2612   29.0   25.99  -12.98  -1.673   0.82    92,124     -87,418   14.1   44.5     -9,444    -77,974
  5/5        0.5comm+2.1pt     2612   27.1   26.13  -14.23  -3.273   0.68   173,606    -171,002   14.1   44.5    -21,252   -149,750
  5/5        1.0none           1859   41.9   26.31  -21.01  -1.205   0.90    54,100     -44,800   25.2   30.3    -41,990     -2,810
  5/5        1.0commission     1859   41.9   26.09  -21.23  -1.425   0.88    60,985     -52,980   25.2   30.3    -44,049     -8,930
  5/5        1.0comm+1tick     1859   41.3   25.97  -21.51  -1.925   0.85    77,293     -71,570   25.2   30.3    -48,729    -22,840
  5/5        1.0comm+2.1pt     1859   38.5   26.16  -22.12  -3.525   0.74   133,432    -131,058   25.2   30.3    -63,705    -67,352
  5/5        1.2none           1741   44.7   26.34  -23.68  -1.328   0.90    58,260     -46,240   28.9   27.4    -60,445     14,205
  5/5        1.2commission     1741   44.7   26.12  -23.90  -1.548   0.88    64,637     -53,900   28.9   27.4    -62,663      8,762
  5/5        1.2comm+1tick     1741   44.1   25.99  -24.13  -2.048   0.85    79,267     -71,310   28.9   27.4    -67,703     -3,608
  5/5        1.2comm+2.1pt     1741   41.1   26.19  -24.49  -3.648   0.75   129,393    -127,022   28.9   27.4    -83,831    -43,192

======================================================================================================================
  THE DECLARED DECISION RULE
======================================================================================================================
  pivot 2/2 stop 0.5: B P&L $      -618 PF 1.00 | C P&L $  -123,747 PF 0.84 | rev-dependency  999.0%  -> fail
  pivot 2/2 stop 1.0: B P&L $       729 PF 1.00 | C P&L $  -117,788 PF 0.85 | rev-dependency -4051.0%  -> fail
  pivot 2/2 stop 1.2: B P&L $   -10,541 PF 0.98 | C P&L $  -113,705 PF 0.86 | rev-dependency  999.0%  -> fail
  pivot 3/3 stop 0.5: B P&L $    18,294 PF 1.07 | C P&L $   -89,574 PF 0.86 | rev-dependency   -9.9%  -> fail
  pivot 3/3 stop 1.0: B P&L $    29,164 PF 1.09 | C P&L $   -65,990 PF 0.89 | rev-dependency  -69.8%  -> fail
  pivot 3/3 stop 1.2: B P&L $    19,504 PF 1.05 | C P&L $   -55,734 PF 0.91 | rev-dependency -160.9%  -> fail
  pivot 5/5 stop 0.5: B P&L $    -9,228 PF 0.95 | C P&L $   -87,418 PF 0.82 | rev-dependency  999.0%  -> fail
  pivot 5/5 stop 1.0: B P&L $    -5,476 PF 0.98 | C P&L $   -71,570 PF 0.85 | rev-dependency  999.0%  -> fail
  pivot 5/5 stop 1.2: B P&L $    -9,367 PF 0.97 | C P&L $   -71,310 PF 0.85 | rev-dependency  999.0%  -> fail

  specifications passing all conditions: 0 of 9

  2016-2020 was not read. Sealed days were not read.
