======================================================================================================================
  BOUNDED RECONSTRUCTION — NOT A REPLICATION
======================================================================================================================
  true-tick sessions 36   20260701 .. 20260820   sealed days excluded, 2016-2020 unread
  grid: pivot L/R [2, 3, 5] x stop [0.5, 1.0, 1.2] x ATR14   TP fixed 1.2xATR14
  costs in points/round-turn: {'none': 0.0, 'commission': 0.22, 'comm+1tick': 0.72, 'comm+2.1pt': 2.32}
  Positions are flattened at each tape day's end (the archive is not
  contiguous across weekends and excluded days). Declared, not hidden.
  5-minute bars built from ticks: 9720   (270 a session)

======================================================================================================================
  CALIBRATION CHECK — Model A, no cost, against the supplied ledger
======================================================================================================================
  ledger: 28.6 trades/session · 57% win · 7.99 gross pts/trade · 20.4% reversal-affected

  pivot     stop  trades  per sess    win%  pts/trade    rev%   same%  TP dist
  2/2        0.5    1707      47.4    32.4      -0.77    20.3     0.0    32.27
  2/2        1.0    1428      39.7    42.0      -1.95    31.2     0.0    32.13
  2/2        1.2    1357      37.7    44.4      -2.35    35.1     0.0    32.10
  3/3        0.5    1352      37.6    31.9      -0.18    14.5     0.0    33.03
  3/3        1.0    1088      30.2    43.1      -0.86    23.9     0.0    32.68
  3/3        1.2    1029      28.6    45.5      -1.01    26.5     0.0    32.69
  5/5        0.5    1006      27.9    30.9      -0.60    10.9     0.0    31.13
  5/5        1.0     792      22.0    43.9      -0.52    18.1     0.0    31.46
  5/5        1.2     739      20.5    47.4      -0.69    21.1     0.0    31.43

======================================================================================================================
  MODEL A
======================================================================================================================
  pivot     stopcost              n   win%    avgW    avgL     exp     PF    maxDD$       P&L $   rev%  same%       $rev     $other
  3/3        1.2none           1029   45.5   33.80  -30.04  -1.006   0.94    37,678     -20,696   26.5    0.0    -95,684     74,987
  3/3        1.2commission     1029   45.5   33.58  -30.26  -1.226   0.93    39,834     -25,224   26.5    0.0    -96,885     71,661
  3/3        1.2comm+1tick     1029   45.1   33.36  -30.54  -1.726   0.90    44,734     -35,514   26.5    0.0    -99,615     64,101
  3/3        1.2comm+2.1pt     1029   44.7   32.04  -31.92  -3.326   0.81    72,963     -68,442   26.5    0.0   -108,351     39,909
  5/5        0.5none           1006   30.9   34.52  -16.32  -0.603   0.95    23,029     -12,136   10.9    0.0    -36,613     24,476
  5/5        0.5commission     1006   30.9   34.30  -16.54  -0.823   0.93    26,351     -16,563   10.9    0.0    -37,097     20,534
  5/5        0.5comm+1tick     1006   30.8   33.91  -17.02  -1.323   0.89    34,365     -26,623   10.9    0.0    -38,197     11,574
  5/5        0.5comm+2.1pt     1006   30.6   32.52  -18.56  -2.923   0.77    63,673     -58,815   10.9    0.0    -41,717    -17,098
  5/5        1.0none            792   43.9   34.72  -28.14  -0.516   0.97    19,637      -8,169   18.1    0.0    -51,510     43,341
  5/5        1.0commission      792   43.9   34.50  -28.36  -0.736   0.95    21,595     -11,654   18.1    0.0    -52,139     40,485
  5/5        1.0comm+1tick      792   43.8   34.10  -28.79  -1.236   0.92    28,585     -19,574   18.1    0.0    -53,569     33,995
  5/5        1.0comm+2.1pt      792   43.6   32.69  -30.26  -2.836   0.83    51,819     -44,918   18.1    0.0    -58,145     13,227
  5/5        1.2none            739   47.4   34.34  -32.21  -0.694   0.96    27,303     -10,261   21.1    0.0    -60,017     49,756
  5/5        1.2commission      739   47.4   34.12  -32.43  -0.914   0.95    29,186     -13,512   21.1    0.0    -60,703     47,191
  5/5        1.2comm+1tick      739   47.2   33.71  -32.85  -1.414   0.92    33,466     -20,902   21.1    0.0    -62,263     41,361
  5/5        1.2comm+2.1pt      739   47.0   32.30  -34.28  -3.014   0.83    51,736     -44,550   21.1    0.0    -67,255     22,705

======================================================================================================================
  MODEL B
======================================================================================================================
  pivot     stopcost              n   win%    avgW    avgL     exp     PF    maxDD$       P&L $   rev%  same%       $rev     $other
  2/2        0.5none           1023   31.0   35.25  -15.17   0.453   1.04    19,577       9,262    5.7   47.0        995      8,267
  2/2        0.5commission     1023   31.0   35.03  -15.39   0.233   1.02    21,488       4,761    5.7   47.0        740      4,021
  2/2        0.5comm+1tick     1023   31.0   34.53  -15.89  -0.267   0.98    26,903      -5,469    5.7   47.0        160     -5,629
  2/2        0.5comm+2.1pt     1023   30.4   33.59  -17.36  -1.867   0.85    46,839     -38,205    5.7   47.0     -1,696    -36,509
  2/2        1.0none            940   45.4   35.41  -27.34   1.165   1.08    23,634      21,900   15.4   20.3    -26,710     48,610
  2/2        1.0commission      940   45.4   35.19  -27.56   0.945   1.06    24,628      17,764   15.4   20.3    -27,348     45,112
  2/2        1.0comm+1tick      940   45.4   34.69  -28.06   0.445   1.03    26,888       8,364   15.4   20.3    -28,798     37,162
  2/2        1.0comm+2.1pt      940   44.7   33.66  -29.28  -1.155   0.93    38,410     -21,716   15.4   20.3    -33,438     11,722
  2/2        1.2none            917   48.1   35.45  -31.17   0.869   1.05    27,944      15,945   18.4   17.2    -42,190     58,135
  2/2        1.2commission      917   48.1   35.23  -31.39   0.649   1.04    28,925      11,910   18.4   17.2    -42,934     54,844
  2/2        1.2comm+1tick      917   48.1   34.73  -31.89   0.149   1.01    31,261       2,740   18.4   17.2    -44,624     47,364
  2/2        1.2comm+2.1pt      917   47.3   33.68  -33.02  -1.451   0.92    43,760     -26,604   18.4   17.2    -50,032     23,428
  3/3        0.5none            799   28.8   36.93  -15.05  -0.085   0.99    15,833      -1,351    2.3   49.1        195     -1,546
  3/3        0.5commission      799   28.8   36.71  -15.27  -0.305   0.97    17,192      -4,867    2.3   49.1        116     -4,982
  3/3        0.5comm+1tick      799   28.8   36.21  -15.77  -0.805   0.93    20,282     -12,857    2.3   49.1        -64    -12,792
  3/3        0.5comm+2.1pt      799   28.5   34.92  -17.31  -2.405   0.81    41,988     -38,425    2.3   49.1       -640    -37,784
  3/3        1.0none            744   43.0   36.22  -28.13  -0.453   0.97    22,461      -6,742   10.6   22.3    -15,655      8,913
  3/3        1.0commission      744   43.0   36.00  -28.35  -0.673   0.96    24,388     -10,016   10.6   22.3    -16,003      5,987
  3/3        1.0comm+1tick      744   42.9   35.61  -28.78  -1.173   0.93    28,768     -17,456   10.6   22.3    -16,793       -663
  3/3        1.0comm+2.1pt      744   42.6   34.23  -30.24  -2.773   0.84    46,639     -41,264   10.6   22.3    -19,321    -21,943
  3/3        1.2none            725   46.5   36.27  -32.69  -0.637   0.96    26,491      -9,233   12.4   17.4    -22,505     13,272
  3/3        1.2commission      725   46.5   36.05  -32.91  -0.857   0.95    28,013     -12,423   12.4   17.4    -22,901     10,478
  3/3        1.2comm+1tick      725   46.3   35.66  -33.33  -1.357   0.92    31,588     -19,673   12.4   17.4    -23,801      4,128
  3/3        1.2comm+2.1pt      725   46.1   34.27  -34.75  -2.957   0.84    46,669     -42,873   12.4   17.4    -26,681    -16,192
  5/5        0.5none            576   28.3   38.46  -14.94   0.173   1.02    10,880       1,989    0.9   50.7        890      1,099
  5/5        0.5commission      576   28.3   38.24  -15.16  -0.047   1.00    11,597        -546    0.9   50.7        868     -1,414
  5/5        0.5comm+1tick      576   28.3   37.74  -15.66  -0.547   0.95    13,887      -6,306    0.9   50.7        818     -7,124
  5/5        0.5comm+2.1pt      576   28.3   36.14  -17.26  -2.147   0.83    26,872     -24,738    0.9   50.7        658    -25,396
  5/5        1.0none            544   44.1   37.88  -28.32   0.886   1.06    11,673       9,637    6.4   22.8     -6,305     15,942
  5/5        1.0commission      544   44.1   37.66  -28.54   0.666   1.04    11,858       7,243    6.4   22.8     -6,459     13,702
  5/5        1.0comm+1tick      544   43.9   37.31  -28.94   0.166   1.01    12,278       1,803    6.4   22.8     -6,809      8,612
  5/5        1.0comm+2.1pt      544   43.9   35.71  -30.54  -1.434   0.92    20,417     -15,605    6.4   22.8     -7,929     -7,676
  5/5        1.2none            521   48.0   38.02  -32.67   1.250   1.07    16,088      13,027    9.0   17.7    -10,655     23,682
  5/5        1.2commission      521   48.0   37.80  -32.89   1.030   1.06    16,871      10,735    9.0   17.7    -10,862     21,597
  5/5        1.2comm+1tick      521   47.8   37.45  -33.27   0.530   1.03    18,651       5,525    9.0   17.7    -11,332     16,857
  5/5        1.2comm+2.1pt      521   47.8   35.85  -34.87  -1.070   0.94    24,488     -11,147    9.0   17.7    -12,836      1,689

======================================================================================================================
  MODEL C
======================================================================================================================
  pivot     stopcost              n   win%    avgW    avgL     exp     PF    maxDD$       P&L $   rev%  same%       $rev     $other
  2/2        0.5none           2570   30.3   27.17  -13.15  -0.924   0.90    60,450     -47,515   26.2   47.8    -11,675    -35,840
  2/2        0.5commission     2570   30.3   26.95  -13.37  -1.144   0.88    71,226     -58,823   26.2   47.8    -14,641    -44,182
  2/2        0.5comm+1tick     2570   29.5   27.23  -13.70  -1.644   0.83    95,733     -84,523   26.2   47.8    -21,381    -63,142
  2/2        0.5comm+2.1pt     2570   26.6   28.51  -14.74  -3.244   0.70   174,229    -166,763   26.2   47.8    -42,949   -123,814
  2/2        1.0none           2006   39.3   27.02  -20.23  -1.648   0.87    80,755     -66,115   41.3   34.7    -74,220      8,105
  2/2        1.0commission     2006   39.3   26.80  -20.45  -1.868   0.85    89,172     -74,941   41.3   34.7    -77,863      2,922
  2/2        1.0comm+1tick     2006   38.2   27.06  -20.58  -2.368   0.81   108,302     -95,001   41.3   34.7    -86,143     -8,858
  2/2        1.0comm+2.1pt     2006   34.5   28.28  -20.99  -3.968   0.71   170,018    -159,193   41.3   34.7   -112,639    -46,554
  2/2        1.2none           1922   41.5   27.04  -21.91  -1.585   0.88    79,380     -60,920   46.3   33.5   -111,750     50,830
  2/2        1.2commission     1922   41.5   26.82  -22.13  -1.805   0.86    84,700     -69,377   46.3   33.5   -115,666     46,289
  2/2        1.2comm+1tick     1922   40.4   27.07  -22.20  -2.305   0.83   102,412     -88,597   46.3   33.5   -124,566     35,969
  2/2        1.2comm+2.1pt     1922   36.6   28.22  -22.43  -3.905   0.73   160,972    -150,101   46.3   33.5   -153,046      2,945
  3/3        0.5none           2061   29.5   29.29  -13.33  -0.756   0.92    49,035     -31,180   21.3   47.7     -7,390    -23,790
  3/3        0.5commission     2061   29.5   29.07  -13.55  -0.976   0.90    53,246     -40,248   21.3   47.7     -9,322    -30,927
  3/3        0.5comm+1tick     2061   28.7   29.40  -13.89  -1.476   0.85    68,178     -60,858   21.3   47.7    -13,712    -47,147
  3/3        0.5comm+2.1pt     2061   26.5   30.17  -15.06  -3.076   0.72   130,674    -126,810   21.3   47.7    -27,760    -99,051
  3/3        1.0none           1540   40.3   29.24  -20.97  -0.755   0.94    52,675     -23,265   35.1   34.3    -47,240     23,975
  3/3        1.0commission     1540   40.3   29.02  -21.19  -0.975   0.92    55,808     -30,041   35.1   34.3    -49,616     19,575
  3/3        1.0comm+1tick     1540   38.9   29.53  -21.21  -1.475   0.89    62,928     -45,441   35.1   34.3    -55,016      9,575
  3/3        1.0comm+2.1pt     1540   36.0   30.28  -21.82  -3.075   0.78   102,885     -94,721   35.1   34.3    -72,296    -22,425
  3/3        1.2none           1471   42.6   29.21  -22.95  -0.717   0.95    48,595     -21,080   39.4   33.0    -73,900     52,820
  3/3        1.2commission     1471   42.6   28.99  -23.17  -0.937   0.93    51,574     -27,552   39.4   33.0    -76,448     48,895
  3/3        1.2comm+1tick     1471   41.2   29.49  -23.10  -1.437   0.89    58,344     -42,262   39.4   33.0    -82,238     39,975
  3/3        1.2comm+2.1pt     1471   38.1   30.21  -23.53  -3.037   0.79    96,933     -89,334   39.4   33.0   -100,766     11,431
  5/5        0.5none           1565   29.3   31.64  -13.85  -0.512   0.95    26,910     -16,025   16.0   46.5        210    -16,235
  5/5        0.5commission     1565   29.3   31.42  -14.07  -0.732   0.93    29,846     -22,911   16.0   46.5       -894    -22,017
  5/5        0.5comm+1tick     1565   29.0   31.26  -14.51  -1.232   0.88    44,086     -38,561   16.0   46.5     -3,404    -35,157
  5/5        0.5comm+2.1pt     1565   27.7   31.07  -15.84  -2.832   0.75    91,985     -88,641   16.0   46.5    -11,436    -77,205
  5/5        1.0none           1113   41.6   31.73  -22.67  -0.037   1.00    17,920        -830   27.9   33.2    -26,845     26,015
  5/5        1.0commission     1113   41.6   31.51  -22.89  -0.257   0.98    19,222      -5,727   27.9   33.2    -28,209     22,482
  5/5        1.0comm+1tick     1113   41.2   31.29  -23.25  -0.757   0.94    24,978     -16,857   27.9   33.2    -31,309     14,452
  5/5        1.0comm+2.1pt     1113   39.4   31.16  -24.10  -2.357   0.84    54,859     -52,473   27.9   33.2    -41,229    -11,244
  5/5        1.2none           1031   44.6   31.67  -25.36   0.086   1.01    14,830       1,770   31.7   30.7    -38,525     40,295
  5/5        1.2commission     1031   44.6   31.45  -25.58  -0.134   0.99    16,018      -2,766   31.7   30.7    -39,964     37,197
  5/5        1.2comm+1tick     1031   44.2   31.22  -25.90  -0.634   0.96    20,738     -13,076   31.7   30.7    -43,234     30,157
  5/5        1.2comm+2.1pt     1031   42.2   31.10  -26.57  -2.234   0.85    48,690     -46,068   31.7   30.7    -53,698      7,629

======================================================================================================================
  THE DECLARED DECISION RULE
======================================================================================================================

  specifications passing all conditions: 0 of 9

  2016-2020 was not read. Sealed days were not read.
